segmento,idade_cnpj_mid,serasa_socio_tem_negativacao,serasa_n_setores,segmento_cliente_Segmento 16,fonte_cliente_Fonte 5
Segmento 20,0.61885756,0.36317047,0.23534304,0.08465487,0.1275245
Segmento 16,0.558708,0.42324024,0.21002246,0.39815363,0.13129367
Segmento 18,0.6499816,0.315268,0.15169789,0.07844052,0.13068773
Segmento 15,0.50139344,0.37774736,0.16746272,0.091010384,0.13892925
Segmento 10,0.52413183,0.3816652,0.14007157,0.09067932,0.16747446
Segmento 19,0.4853759,0.35896596,0.24675952,0.080909014,0.13507009
Segmento 5,0.55032367,0.36012635,0.17736828,0.08169164,0.117410004
Segmento 9,0.4792635,0.3665278,0.12335667,0.09001321,0.16874254
Segmento 17,0.4661457,0.39157364,0.29253268,0.091450155,0.115721785
Segmento 13,0.8675508,0.27991,0.116241455,0.07775583,0.13126993
Segmento 3,0.55085796,0.39762068,0.1168027,0.09530682,0.17833108
Segmento 11,0.3789257,0.37793666,0.22621691,0.09389576,0.13719752
Segmento 2,0.37772018,0.3910992,0.1132698,0.08705216,0.16854738
Segmento 4,0.27049893,0.40675956,0.12142559,0.104123,0.08945323
