id_cliente,tier,score_A,score_B,default_prob,decision,credit_limit,expected_loss,inadimplente
1000732585882,APPLICATION,0.0,0.4511,0.2256,MANUAL,0,0.0,0
1001250740869,MANUAL_REVIEW,0.0,0.8601,0.57,AUTO-DENY,0,0.0,0
1002669165825,APPLICATION,0.0,0.4417,0.7791,AUTO-DENY,0,0.0,0
1003899664289,BEHAVIORAL,0.5616,0.3937,0.5025,AUTO-DENY,0,0.0,0
1005577842775,MANUAL_REVIEW,0.0,0.9284,0.4642,AUTO-DENY,0,0.0,0
1005928805955,MANUAL_REVIEW,0.0,0.7758,0.3879,AUTO-APPROVE,8000,3103.2000000000003,0
1006479800959,BEHAVIORAL,0.5634,0.8546,0.489,AUTO-DENY,0,0.0,0
1008295105717,MANUAL_REVIEW,0.0,0.6333,0.6833,AUTO-DENY,0,0.0,0
1010025345946,BEHAVIORAL,0.8462,0.9514,0.3404,MANUAL,0,0.0,0
1012149504553,BEHAVIORAL,0.7143,0.6605,0.3288,MANUAL,0,0.0,0
1015964364540,APPLICATION,0.0,0.4642,0.2321,MANUAL,0,0.0,0
1016374092653,MANUAL_REVIEW,0.0,0.627,0.6865,AUTO-DENY,0,0.0,0
1021300971235,APPLICATION,0.0,0.3337,0.1669,MANUAL,0,0.0,0
1021961876022,APPLICATION,0.0,0.5069,0.7466,AUTO-DENY,0,0.0,1
1028008990269,MANUAL_REVIEW,0.0,0.943,0.5285,AUTO-DENY,0,0.0,0
1034256251853,MANUAL_REVIEW,0.0,0.9613,0.4807,AUTO-DENY,0,0.0,0
1039911314960,MANUAL_REVIEW,0.0,0.9732,0.4866,AUTO-DENY,0,0.0,0
1039919484244,APPLICATION,0.0,0.3613,0.1807,MANUAL,0,0.0,0
1041056461533,BEHAVIORAL,0.5168,0.4956,0.1888,AUTO-APPROVE,10000,1888.0,0
1041216405422,APPLICATION,0.0,0.3118,0.1559,MANUAL,0,0.0,0
1041363501491,BEHAVIORAL,0.6047,0.9099,0.4525,AUTO-DENY,0,0.0,0
1042036595238,MANUAL_REVIEW,0.0,0.6584,0.3292,AUTO-APPROVE,8000,2633.6,0
1042522836616,MANUAL_REVIEW,0.0,0.9926,0.4963,AUTO-DENY,0,0.0,0
1043346100156,APPLICATION,0.0,0.581,0.7095,AUTO-DENY,0,0.0,1
1044998526583,BEHAVIORAL,0.5738,0.3997,0.3969,AUTO-DENY,0,0.0,0
1048119105653,APPLICATION,0.0,0.3581,0.1791,MANUAL,0,0.0,0
1050676688813,BEHAVIORAL,0.6957,0.6974,0.2686,MANUAL,0,0.0,0
1052233516098,MANUAL_REVIEW,0.0,0.8943,0.4472,AUTO-DENY,0,0.0,0
1054276094993,BEHAVIORAL,0.528,0.4215,0.2332,AUTO-APPROVE,10000,2332.0,0
1056080434281,MANUAL_REVIEW,0.0,0.9825,0.5087,AUTO-DENY,0,0.0,0
1056178969568,APPLICATION,0.0,0.5586,0.2793,AUTO-DENY,0,0.0,0
1056232908537,APPLICATION,0.0,0.1471,0.0736,AUTO-APPROVE,20000,1472.0,0
1056378056509,MANUAL_REVIEW,0.0,0.7932,0.3966,AUTO-APPROVE,8000,3172.8,1
1056396665037,BEHAVIORAL,0.6047,0.5939,0.0725,AUTO-APPROVE,25000,1812.4999999999998,0
1057643365946,BEHAVIORAL,0.5076,0.3317,0.0842,AUTO-APPROVE,25000,2105.0,0
1059621246241,APPLICATION,0.0,0.3262,0.1631,MANUAL,0,0.0,0
1060642544658,BEHAVIORAL,0.59,0.4801,0.3248,MANUAL,0,0.0,0
1064482379379,MANUAL_REVIEW,0.0,0.6378,0.6811,AUTO-DENY,0,0.0,1
1065498419308,MANUAL_REVIEW,0.0,0.898,0.551,AUTO-DENY,0,0.0,1
1067097509546,APPLICATION,0.0,0.2109,0.8946,AUTO-DENY,0,0.0,0
1068828679966,APPLICATION,0.0,0.4922,0.2461,MANUAL,0,0.0,0
1071316921858,BEHAVIORAL,0.5196,0.3145,0.0101,AUTO-APPROVE,25000,252.5,0
1071644142607,APPLICATION,0.0,0.4618,0.7691,AUTO-DENY,0,0.0,1
1074165991492,APPLICATION,0.0,0.5719,0.2859,AUTO-DENY,0,0.0,0
1074526913481,BEHAVIORAL,0.6324,0.5256,0.1627,AUTO-APPROVE,15000,2440.5,0
1077676893331,MANUAL_REVIEW,0.0,0.8232,0.4116,AUTO-DENY,0,0.0,0
1086065967168,MANUAL_REVIEW,0.0,0.8266,0.4133,AUTO-DENY,0,0.0,1
1087946321690,MANUAL_REVIEW,0.0,0.8443,0.5778,AUTO-DENY,0,0.0,0
1090271015747,APPLICATION,0.0,0.3652,0.8174,AUTO-DENY,0,0.0,1
1096591147761,MANUAL_REVIEW,0.0,0.7984,0.3992,AUTO-APPROVE,8000,3193.6,0
1100786083277,APPLICATION,0.0,0.298,0.851,AUTO-DENY,0,0.0,1
1105423454701,APPLICATION,0.0,0.2585,0.1292,AUTO-APPROVE,8000,1033.6000000000001,1
1107735056057,MANUAL_REVIEW,0.0,0.7002,0.6499,AUTO-DENY,0,0.0,0
1109042886032,MANUAL_REVIEW,0.0,0.663,0.3315,AUTO-APPROVE,8000,2652.0,0
1111265470873,BEHAVIORAL,1.0,0.3584,0.2259,AUTO-APPROVE,10000,2259.0,0
1115672906251,MANUAL_REVIEW,0.0,0.7006,0.3503,AUTO-APPROVE,8000,2802.4,0
1118196294948,BEHAVIORAL,0.5126,0.5912,0.3859,AUTO-DENY,0,0.0,0
1121373046582,BEHAVIORAL,0.725,0.6903,0.7748,AUTO-DENY,0,0.0,1
1126932041966,BEHAVIORAL,1.0,0.8948,0.1536,AUTO-APPROVE,15000,2304.0,0
1129956569547,APPLICATION,0.0,0.3635,0.1818,MANUAL,0,0.0,1
1134563071032,APPLICATION,0.0,0.4082,0.7959,AUTO-DENY,0,0.0,1
1138318835508,APPLICATION,0.0,0.5812,0.7094,AUTO-DENY,0,0.0,1
1138369745609,APPLICATION,0.0,0.2923,0.1461,AUTO-APPROVE,8000,1168.8,0
1138846279709,MANUAL_REVIEW,0.0,0.608,0.696,AUTO-DENY,0,0.0,1
1141184311097,APPLICATION,0.0,0.5239,0.262,AUTO-DENY,0,0.0,0
1141741776203,MANUAL_REVIEW,0.0,0.7689,0.6155,AUTO-DENY,0,0.0,0
1149346157706,MANUAL_REVIEW,0.0,0.8285,0.4143,AUTO-DENY,0,0.0,0
1149559588905,BEHAVIORAL,0.875,0.6444,0.6724,AUTO-DENY,0,0.0,1
1150151280580,APPLICATION,0.0,0.495,0.2475,MANUAL,0,0.0,0
1150539871269,MANUAL_REVIEW,0.0,0.8918,0.5541,AUTO-DENY,0,0.0,1
1150634177795,MANUAL_REVIEW,0.0,0.8028,0.5986,AUTO-DENY,0,0.0,0
1152312452603,APPLICATION,0.0,0.1959,0.0979,AUTO-APPROVE,12000,1174.8,0
1153772494515,MANUAL_REVIEW,0.0,0.7745,0.3873,AUTO-APPROVE,8000,3098.3999999999996,0
1155464087549,MANUAL_REVIEW,0.0,0.8424,0.5788,AUTO-DENY,0,0.0,0
1161125403914,APPLICATION,0.0,0.1838,0.0919,AUTO-APPROVE,12000,1102.8,0
1167724824598,APPLICATION,0.0,0.1824,0.9088,AUTO-DENY,0,0.0,1
1175158982386,APPLICATION,0.0,0.2369,0.8815,AUTO-DENY,0,0.0,1
1176179503936,MANUAL_REVIEW,0.0,0.6945,0.3473,AUTO-APPROVE,8000,2778.4,0
1176757691994,MANUAL_REVIEW,0.0,0.6373,0.6814,AUTO-DENY,0,0.0,0
1176822232221,MANUAL_REVIEW,0.0,0.8271,0.4135,AUTO-DENY,0,0.0,0
1178815962838,MANUAL_REVIEW,0.0,0.9175,0.4588,AUTO-DENY,0,0.0,0
1179395663311,APPLICATION,0.0,0.4657,0.7671,AUTO-DENY,0,0.0,0
1180599068038,MANUAL_REVIEW,0.0,0.6228,0.6886,AUTO-DENY,0,0.0,0
1180827397085,MANUAL_REVIEW,0.0,0.8156,0.4078,AUTO-DENY,0,0.0,0
1188740301826,BEHAVIORAL,0.5381,0.5525,0.3344,MANUAL,0,0.0,0
1189299400339,APPLICATION,0.0,0.4662,0.2331,MANUAL,0,0.0,0
1190030058298,BEHAVIORAL,0.6216,0.8365,0.512,AUTO-DENY,0,0.0,0
1192381357102,MANUAL_REVIEW,0.0,0.8664,0.5668,AUTO-DENY,0,0.0,1
1195292632845,APPLICATION,0.0,0.4939,0.753,AUTO-DENY,0,0.0,1
1195992412028,MANUAL_REVIEW,0.0,0.9707,0.5146,AUTO-DENY,0,0.0,1
1198360055950,MANUAL_REVIEW,0.0,0.7519,0.376,AUTO-APPROVE,8000,3008.0,1
1198666809130,MANUAL_REVIEW,0.0,0.9518,0.4759,AUTO-DENY,0,0.0,1
1198669438846,MANUAL_REVIEW,0.0,0.7017,0.6492,AUTO-DENY,0,0.0,1
1198698031397,APPLICATION,0.0,0.1514,0.9243,AUTO-DENY,0,0.0,1
1204933498025,BEHAVIORAL,0.6875,0.7651,0.8041,AUTO-DENY,0,0.0,1
1207136840602,APPLICATION,0.0,0.3212,0.1606,MANUAL,0,0.0,0
1212638756996,MANUAL_REVIEW,0.0,0.8268,0.4134,AUTO-DENY,0,0.0,0
1218791540698,MANUAL_REVIEW,0.0,0.7808,0.3904,AUTO-APPROVE,8000,3123.2000000000003,0
1221781461310,APPLICATION,0.0,0.491,0.2455,MANUAL,0,0.0,0
1221973119690,MANUAL_REVIEW,0.0,0.8991,0.5505,AUTO-DENY,0,0.0,0
1224178225480,APPLICATION,0.0,0.5046,0.2523,AUTO-DENY,0,0.0,0
1224372898868,APPLICATION,0.0,0.4922,0.2461,MANUAL,0,0.0,0
