id_cliente,uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,churned
3005277736677,CE,FORTALEZA,Segmento 5,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(70000, 100000]","(8000, 25000]",0.0,0.0,,0.0,,$,,"(2500, 5000]",1.0,0
4227406830370,CE,FORTALEZA,Segmento 19,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(3000, 5000]","(5000, 8000]",0.0,0.0,,1.0,"(30, 50]",$$$,,"(5000, 10000]",1.0,0
4524631448006,CE,FORTALEZA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(8000, 10000]","(5000, 8000]",14.0,0.0,Comunicação,0.0,"(0, 5]",$$$,,"(10000, 20000]",1.0,0
7982017962816,CE,FORTALEZA,Segmento 13,206-2 - Sociedade Empresária Limitada,Fonte 5,74.49-2-82,"(8000, 10000]","(5000, 8000]",0.0,4.0,,1.0,,,,"(1000, 2500]",1.0,0
3808618876273,CE,FORTALEZA,Segmento 13,206-2 - Sociedade Empresária Limitada,Fonte 5,74.49-2-82,"(200000, 1000000]","(8000, 25000]",6.0,0.0,,1.0,,,,"(2500, 5000]",1.0,0
5246176692262,CE,FORTALEZA,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 5,39.87-6-92,"(15000, 20000]","(8000, 25000]",0.0,0.0,,0.0,"(0, 5]",$,,,,0
4938228934646,CE,FORTALEZA,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 1,39.87-6-92,"(50000, 70000]","(8000, 25000]",0.0,0.0,,0.0,,,,,,0
1221957976548,CE,FORTALEZA,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 5,39.87-6-23,"(30000, 50000]","(8000, 25000]",0.0,0.0,,0.0,,,,"(2500, 5000]",1.0,0
2205637575408,CE,FORTALEZA,Segmento 14,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(8000, 10000]","(5000, 8000]",2.0,1.0,,0.0,"(10, 20]",$,,"(20, 30]",1.0,0
3222842491577,CE,FORTALEZA,Segmento 19,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(200000, 1000000]","(5000, 8000]",1.0,0.0,,1.0,"(5, 10]",$,,"(1000, 2500]",1.0,0
1464018550681,CE,FORTALEZA,Segmento 3,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(8000, 10000]","(5000, 8000]",0.0,0.0,,1.0,,$,,,,0
4967594737505,CE,MARACANAU,Segmento 19,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-84,"(5000, 8000]","(5000, 8000]",0.0,0.0,,0.0,,$,,,,0
2318101682269,CE,FORTALEZA,Segmento 10,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(30000, 50000]","(5000, 8000]",0.0,0.0,,0.0,,,,,,0
7193744777832,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 5,53.23-6-24,"(3000, 5000]","(8000, 25000]",0.0,0.0,,1.0,,,,,,0
5180299325493,CE,CAUCAIA,Segmento 10,213-5 - Empresário (Individual),Fonte 5,77.12-9-28,"(3000, 5000]","(5000, 8000]",0.0,0.0,,1.0,,$,,,,0
7070800028323,CE,FORTALEZA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(70000, 100000]","(8000, 25000]",0.0,0.0,,1.0,"(10, 20]",$,,,,0
1244825576017,CE,CAUCAIA,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 1,97.30-8-73,"(100000, 200000]","(5000, 8000]",0.0,0.0,,0.0,,,,,,1
3534693101808,CE,AQUIRAZ,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(5000, 8000]",0.0,0.0,,0.0,,,,,,1
5825579222451,CE,FORTALEZA,Segmento 19,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(8000, 10000]","(5000, 8000]",3.0,1.0,"Alimentos e Bebidas, Saúde",1.0,,,,,,1
9724838441869,CE,FORTALEZA,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(15000, 20000]","(8000, 25000]",0.0,0.0,,0.0,"(0, 5]",$,,"(200, 300]",1.0,0
8766898423927,CE,FORTALEZA,Segmento 15,206-2 - Sociedade Empresária Limitada,Fonte 1,53.23-6-84,"(15000, 20000]","(8000, 25000]",0.0,0.0,,0.0,,,,"(10, 20]",1.0,0
4292337949502,CE,FORTALEZA,Segmento 18,206-2 - Sociedade Empresária Limitada,Fonte 5,39.87-6-92,"(8000, 10000]","(8000, 25000]",0.0,0.0,,0.0,,,,"(1000, 2500]",1.0,0
1466495893107,CE,EUSEBIO,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-84,"(70000, 100000]","(8000, 25000]",0.0,0.0,,0.0,,$,,,,0
5400986768484,CE,FORTALEZA,Segmento 5,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(3000, 5000]","(5000, 8000]",2.0,10.0,,0.0,,$,,"(1000, 2500]",1.0,1
6688599847240,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 5,53.23-6-24,"(8000, 10000]","(5000, 8000]",0.0,0.0,,0.0,,,,"(1000, 2500]",1.0,1
