id_pedido,id_cliente,valor,produtos,data_entrega
9148363092972,4524631448006,"(0, 500]","(0, 5]",2024-09-12
3210783381142,4524631448006,"(0, 500]","(0, 5]",2024-09-30
1115790272920,4524631448006,"(0, 500]","(0, 5]",2024-10-04
2192066254684,4524631448006,"(0, 500]","(0, 5]",2024-10-10
3700784756350,4524631448006,"(500, 1000]","(0, 5]",2024-10-29
8535937832465,4524631448006,"(2000, 10000000]","(0, 5]",2024-11-05
2474592846596,4524631448006,"(2000, 10000000]","(0, 5]",2024-11-12
6617851306547,4524631448006,"(2000, 10000000]","(0, 5]",2024-11-29
9754543942186,4524631448006,"(500, 1000]","(0, 5]",2024-11-29
1845678124555,4938228934646,"(0, 500]","(0, 5]",2024-09-27
1765912561501,4938228934646,"(0, 500]","(0, 5]",2024-10-16
9899624399280,1464018550681,"(500, 1000]","(5, 10]",2024-09-03
7119155919965,1464018550681,"(0, 500]","(0, 5]",2024-09-10
7511199696374,1464018550681,"(500, 1000]","(0, 5]",2024-09-18
7819422676734,1464018550681,"(0, 500]","(0, 5]",2024-09-24
9449208404357,1464018550681,"(0, 500]","(0, 5]",2024-10-02
2373863253857,1464018550681,"(500, 1000]","(5, 10]",2024-10-09
3221868393040,1464018550681,"(0, 500]","(5, 10]",2024-10-15
3850445815269,1464018550681,"(500, 1000]","(0, 5]",2024-10-21
9587060029960,1464018550681,"(500, 1000]","(5, 10]",2024-10-30
6332285234468,1464018550681,"(500, 1000]","(5, 10]",2024-11-06
1664468867683,1464018550681,"(500, 1000]","(5, 10]",2024-11-12
8893808079517,1464018550681,"(500, 1000]","(0, 5]",2024-11-27
3951850705205,2318101682269,"(500, 1000]","(5, 10]",2024-09-03
6154679817616,2318101682269,"(0, 500]","(5, 10]",2024-09-12
2980935067502,2318101682269,"(0, 500]","(5, 10]",2024-09-19
5206996020473,2318101682269,"(0, 500]","(0, 5]",2024-09-25
3036833686145,2318101682269,"(1000, 2000]","(10, 10000000]",2024-10-01
1623923985018,2318101682269,"(500, 1000]","(5, 10]",2024-10-09
5470531602647,2318101682269,"(500, 1000]","(5, 10]",2024-11-06
7852031166448,2318101682269,"(0, 500]","(0, 5]",2024-11-25
1358048969865,2318101682269,"(0, 500]","(0, 5]",2024-11-26
1346337943837,7070800028323,"(0, 500]","(0, 5]",2024-09-13
2170932923799,7070800028323,"(0, 500]","(0, 5]",2024-10-16
4290130744199,7070800028323,"(500, 1000]","(0, 5]",2024-10-16
3591982911286,7070800028323,"(2000, 10000000]","(0, 5]",2024-10-24
1366421213788,7070800028323,"(0, 500]","(0, 5]",2024-10-25
5853107396058,5825579222451,"(0, 500]","(0, 5]",2024-10-29
2843304814922,5825579222451,"(0, 500]","(0, 5]",2024-11-14
2169936107453,5400986768484,"(0, 500]","(0, 5]",2024-09-13
1364800095179,5400986768484,"(1000, 2000]","(0, 5]",2024-10-14
4385543544381,5400986768484,"(0, 500]","(0, 5]",2024-10-31
2176651955695,5400986768484,"(500, 1000]","(0, 5]",2024-11-05
4914394505003,5400986768484,"(500, 1000]","(0, 5]",2024-11-18
7198308529232,5400986768484,"(500, 1000]","(0, 5]",2024-11-29
9830208704023,5400986768484,"(0, 500]","(0, 5]",2024-11-29
1845274837747,5837648937926,"(0, 500]","(0, 5]",2024-09-06
7747809919593,5837648937926,"(0, 500]","(0, 5]",2024-09-09
6846638199375,5837648937926,"(0, 500]","(0, 5]",2024-09-11
1922130004674,5837648937926,"(0, 500]","(0, 5]",2024-09-13
7952328027469,5837648937926,"(0, 500]","(0, 5]",2024-09-18
2753043143307,5837648937926,"(0, 500]","(0, 5]",2024-10-02
5312777939302,5837648937926,"(500, 1000]","(0, 5]",2024-10-04
6780905130975,5837648937926,"(500, 1000]","(0, 5]",2024-10-09
9668619944758,5837648937926,"(0, 500]","(0, 5]",2024-10-11
4363779987179,5837648937926,"(500, 1000]","(0, 5]",2024-10-12
3547591907311,5837648937926,"(0, 500]","(0, 5]",2024-10-22
4947427152974,5837648937926,"(0, 500]","(0, 5]",2024-10-24
9815836545780,5837648937926,"(0, 500]","(0, 5]",2024-10-28
2198013723741,5837648937926,"(0, 500]","(0, 5]",2024-10-31
9902040015323,5837648937926,"(0, 500]","(0, 5]",2024-11-25
4547741349018,5837648937926,"(500, 1000]","(0, 5]",2024-11-27
1160712677189,5837648937926,"(0, 500]","(0, 5]",2024-11-29
3673628887002,9557661276334,"(0, 500]","(0, 5]",2024-09-02
9620877451349,9557661276334,"(0, 500]","(0, 5]",2024-09-12
6922124973014,1151379201380,"(0, 500]","(0, 5]",2024-09-16
2847560777389,1151379201380,"(0, 500]","(0, 5]",2024-09-26
7955414100059,1151379201380,"(0, 500]","(0, 5]",2024-09-30
4119550349598,1151379201380,"(0, 500]","(0, 5]",2024-11-04
6506425786975,6344950862892,"(500, 1000]","(0, 5]",2024-10-02
6693408391487,5572688763196,"(0, 500]","(0, 5]",2024-09-12
7960355512915,5572688763196,"(0, 500]","(0, 5]",2024-09-19
6158791978959,5572688763196,"(0, 500]","(0, 5]",2024-10-15
1573716205000,5572688763196,"(0, 500]","(0, 5]",2024-11-12
9168806394343,1936318889539,"(0, 500]","(0, 5]",2024-09-10
4690919217858,1936318889539,"(0, 500]","(0, 5]",2024-09-23
9941165187732,1936318889539,"(0, 500]","(0, 5]",2024-09-30
7013725386452,1936318889539,"(0, 500]","(0, 5]",2024-10-30
7428374422278,1936318889539,"(0, 500]","(0, 5]",2024-11-25
4203649049685,5263600396008,"(0, 500]","(0, 5]",2024-09-04
8118802086171,5263600396008,"(500, 1000]","(0, 5]",2024-09-11
4127653485071,5263600396008,"(500, 1000]","(0, 5]",2024-09-18
5229683086424,5263600396008,"(0, 500]","(0, 5]",2024-09-26
4372660543264,5263600396008,"(500, 1000]","(0, 5]",2024-10-02
