id_cliente,uf,municipio,segmento_cliente,natureza_juridica,fonte_cliente,cnae_codigo,capital_social,idade_cnpj,serasa_contagem_negativacoes,serasa_contagem_protestos,serasa_credores,serasa_socio_tem_negativacao,ifood_contagem_avaliacoes,ifood_faixa_preco,google_maps_avaliacao,google_maps_contagem_avaliacoes,google_maps_tem_website,inadimplente
1000732585882,CE,CAUCAIA,Segmento 2,213-5 - Empresário (Individual),Fonte 1,77.49-8-16,"(1500, 2000]","(3000, 4000]",0.0,0.0,,0.0,"(50, 100]",$$,,,,0.0
1001250740869,CE,FORTALEZA,Segmento 10,206-2 - Sociedade Empresária Limitada,Fonte 5,39.87-6-92,"(8000, 10000]","(25, 50]",3.0,0.0,,0.0,,,,,,0.0
1002669165825,CE,CAUCAIA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.35-1-24,"(1500, 2000]","(3000, 4000]",5.0,0.0,"Financeiro, Comércio, Tecnologia",1.0,,,,,,0.0
1003899664289,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.74-5-45,"(2000, 3000]","(900, 1150]",0.0,0.0,,0.0,,,,,,0.0
1005577842775,CE,FORTALEZA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,53.35-1-24,"(8000, 10000]","(600, 750]",1.0,1.0,Saúde,0.0,,,,,,0.0
1005928805955,CE,SAO GONCALO DO AMARANTE,Segmento 20,206-2 - Sociedade Empresária Limitada,Fonte 5,53.23-6-24,"(100000, 200000]","(2000, 2400]",0.0,0.0,,0.0,,,,,,0.0
1006479800959,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 1,77.77-2-39,"(1500, 2000]","(900, 1150]",0.0,0.0,,1.0,,,,,,0.0
1008295105717,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,12.74-7-32,"(3000, 5000]","(450, 600]",0.0,0.0,,1.0,,,,,,0.0
1010025345946,CE,FORTALEZA,Segmento 18,213-5 - Empresário (Individual),Fonte 1,39.87-6-92,"(70000, 100000]","(150, 250]",0.0,0.0,,0.0,,,,,,0.0
1012149504553,CE,PACAJUS,Segmento 5,206-2 - Sociedade Empresária Limitada,Fonte 1,53.23-6-24,"(70000, 100000]","(600, 750]",0.0,0.0,,0.0,,,,,,0.0
1015964364540,CE,FORTALEZA,Segmento 20,213-5 - Empresário (Individual),Fonte 1,53.23-6-24,"(15000, 20000]","(4000, 5000]",0.0,0.0,,0.0,,,,,,0.0
1016374092653,CE,FORTALEZA,Segmento 16,213-5 - Empresário (Individual),Fonte 5,77.49-8-16,"(3000, 5000]","(100, 150]",0.0,0.0,,0.0,,,,,,0.0
