id_pedido,id_cliente,valor,atraso,data_entrega
1001467582914,1377618222119,"(0, 500]","(0, 2]",2023-07-29
1002041733861,7615097701411,"(0, 500]","(0, 2]",2023-08-08
1007388416391,3203166621981,"(0, 500]","(-100, 0]",2023-11-28
1010723925871,3469531155445,"(0, 500]","(0, 2]",2023-10-11
1014450723619,6488389293138,"(500, 1000]","(2, 4]",2023-12-08
1014983632314,2918438151968,"(0, 500]","(4, 6]",2024-04-30
1021642359839,2946361534283,"(0, 500]","(0, 2]",2025-12-29
1053518854751,2918438151968,"(0, 500]","(0, 2]",2024-03-18
1056993226169,1003899664289,"(0, 500]","(6, 10]",2023-05-22
1061153331621,4432717900919,"(500, 1000]","(0, 2]",2023-04-05
1063112135280,2459198413455,"(0, 500]","(-100, 0]",2023-10-26
1066064538073,5653183628261,"(0, 500]","(0, 2]",2023-07-11
1069454492101,6467368369795,"(0, 500]","(2, 4]",2023-04-20
1073017163063,6930137243353,"(0, 500]","(-100, 0]",2023-11-22
1074362269556,1126932041966,"(0, 500]","(-100, 0]",2023-11-20
1075416217806,4140855438741,"(0, 500]","(-100, 0]",2023-07-11
1082895583331,7506963679612,"(0, 500]","(2, 4]",2023-03-09
1093826914604,1535557101731,"(0, 500]","(2, 4]",2023-10-20
1096670225442,7291234677107,"(0, 500]","(0, 2]",2023-07-11
1105120988850,6700668136998,"(500, 1000]","(0, 2]",2023-11-27
1106532386534,3775864454646,"(0, 500]","(0, 2]",2023-09-26
1107663784808,4574240968398,"(0, 500]","(0, 2]",2023-05-08
1107859950125,3994138233762,"(0, 500]","(0, 2]",2023-05-23
1119928751676,2995972589333,"(0, 500]","(0, 2]",2023-09-06
1125697310165,1050676688813,"(0, 500]","(0, 2]",2023-11-22
1126094298515,3980457332297,"(0, 500]","(0, 2]",2023-12-11
1131187889471,3475844198000,"(0, 500]","(-100, 0]",2023-06-26
1134045658385,7432347601806,"(0, 500]","(-100, 0]",2023-02-15
1135850467911,2132665613952,"(0, 500]","(2, 4]",2023-07-07
1139772353210,7161327525516,"(0, 500]","(0, 2]",2023-08-30
1145863851779,6739254066109,"(0, 500]","(0, 2]",2023-09-22
1146350196808,4781488276256,"(0, 500]","(-100, 0]",2023-07-19
1156757957760,6088136232069,"(0, 500]","(-100, 0]",2023-10-30
1159401000498,7225709053481,"(0, 500]","(-100, 0]",2024-05-24
1160178704010,7078241921456,"(0, 500]","(-100, 0]",2023-10-06
1168673445562,6853913468491,"(0, 500]","(10, 15]",2023-07-20
1169819765023,1647475067616,"(0, 500]","(0, 2]",2024-10-04
1173617853968,3802614176273,"(0, 500]","(4, 6]",2023-09-20
1181815633575,4993928012591,"(0, 500]","(0, 2]",2023-05-20
1182583669214,6930137243353,"(0, 500]","(-100, 0]",2023-12-07
1184466752288,7132084692820,"(0, 500]","(2, 4]",2023-09-22
1187180629723,5332275473432,"(0, 500]","(-100, 0]",2024-06-03
1193420519945,1301955505814,"(0, 500]","(2, 4]",2023-06-30
1194655701013,6226777237291,"(0, 500]","(-100, 0]",2024-01-16
1195424430692,5126239725398,"(500, 1000]","(2, 4]",2023-12-01
1196417234173,4789692918764,"(0, 500]","(-100, 0]",2024-03-04
1199712211265,7078241921456,"(0, 500]","(-100, 0]",2023-09-21
1204310094962,3620923293723,"(0, 500]","(0, 2]",2023-09-05
1208754542108,3315475386238,"(0, 500]","(6, 10]",2023-10-23
1209752635328,1121373046582,"(0, 500]","(0, 2]",2024-04-25
1216112729528,5066469206877,"(0, 500]","(6, 10]",2023-10-31
1217996524272,1852874555869,"(0, 500]","(2, 4]",2022-08-30
1223805536929,6481498485169,"(0, 500]","(4, 6]",2023-10-06
1226419470325,2589385861210,"(1000, 2000]","(0, 2]",2023-07-24
1228933010632,1858184671168,"(0, 500]","(0, 2]",2023-10-04
1229935649405,6094566036062,"(0, 500]","(-100, 0]",2023-06-29
1235989518468,6633995450497,"(0, 500]","(2, 4]",2023-10-23
1240625406420,7383280465242,"(0, 500]","(30, 60]",2023-10-09
1242434963855,7503485240890,"(0, 500]","(2, 4]",2023-08-21
1249557631618,5447963382413,"(0, 500]","(2, 4]",2023-10-06
1250249917103,3058419746885,"(2000, 10000000]","(-100, 0]",2025-12-19
1250325874905,3755108266284,"(0, 500]","(2, 4]",2023-09-22
1261568978204,4380804824278,"(0, 500]","(-100, 0]",2025-03-19
1264283383226,4737048292298,"(0, 500]","(0, 2]",2024-08-16
1267504297168,4479319016614,"(500, 1000]","(-100, 0]",2024-01-22
1277734989405,5039791097990,"(0, 500]","(0, 2]",2023-08-01
1285476791934,6882266272117,"(500, 1000]","(0, 2]",2023-03-16
1294618875735,5503432540522,"(0, 500]","(2, 4]",2023-09-22
1298304408779,5211686803456,"(0, 500]","(2, 4]",2023-07-28
1310426125063,4464088694711,"(0, 500]","(6, 10]",2023-10-17
1311942912154,5330638922630,"(0, 500]","(-100, 0]",2023-08-23
1312395947800,1888282874906,"(0, 500]","(0, 2]",2024-04-08
1312622046542,7471683397659,"(0, 500]","(0, 2]",2023-06-28
1314213566132,5309968176630,"(500, 1000]","(0, 2]",2023-12-13
1317925535239,5226168437106,"(0, 500]","(0, 2]",2024-10-15
1321309039623,1661331034870,"(0, 500]","(0, 2]",2022-08-15
1328203724982,5923999564789,"(0, 500]","(0, 2]",2023-09-27
1328223158483,1571843727821,"(500, 1000]","(0, 2]",2023-03-07
1330943531136,4694453544397,"(1000, 2000]","(0, 2]",2023-08-15
1346573888679,1381909985950,"(500, 1000]","(-100, 0]",2023-03-15
1352360676318,1412446008189,"(500, 1000]","(-100, 0]",2022-05-19
1362944062411,4691490285948,"(0, 500]","(2, 4]",2023-11-24
1372141654786,1613442634681,"(500, 1000]","(15, 30]",2023-06-20
1375632825923,1071316921858,"(500, 1000]","(-100, 0]",2022-12-21
1382915782718,5545850594490,"(0, 500]","(4, 6]",2023-12-21
1388455019190,2851944901327,"(0, 500]","(0, 2]",2023-08-17
1388532933406,4749080428197,"(0, 500]","(0, 2]",2022-08-31
1391779194394,5144641923965,"(0, 500]","(-100, 0]",2024-05-08
1393079918569,5684611480526,"(0, 500]","(-100, 0]",2023-06-12
1397077940339,4738733770114,"(0, 500]","(-100, 0]",2023-09-15
1399887319365,5945713923684,"(1000, 2000]","(2, 4]",2023-03-31
1411947739779,2973957457251,"(0, 500]","(0, 2]",2023-11-22
1412538575285,5623808718641,"(0, 500]","(-100, 0]",2023-04-25
1413722692673,5537676437162,"(0, 500]","(0, 2]",2023-04-10
1416713470199,3315475386238,"(0, 500]","(2, 4]",2023-11-10
1432416246813,7360943459820,"(0, 500]","(-100, 0]",2024-04-02
1436588665689,6563398102890,"(0, 500]","(0, 2]",2023-03-13
1441908693073,5055255841915,"(0, 500]","(0, 2]",2022-09-24
1448189648157,7197621264638,"(0, 500]","(0, 2]",2023-05-30
1450348590641,6215826783685,"(500, 1000]","(2, 4]",2024-01-12
1464753864588,3446900056311,"(0, 500]","(6, 10]",2023-09-19
1467911360517,6215826783685,"(500, 1000]","(2, 4]",2023-11-24
1473666522833,2568233507829,"(500, 1000]","(-100, 0]",2023-10-24
1474278599720,3883357889172,"(0, 500]","(-100, 0]",2024-11-01
1475037366112,2974966383353,"(500, 1000]","(-100, 0]",2023-11-28
1476383609790,7432347601806,"(0, 500]","(-100, 0]",2023-02-10
1476546240114,6583472398116,"(0, 500]","(-100, 0]",2023-08-01
1477913996502,1971845305510,"(2000, 10000000]","(-100, 0]",2022-06-06
1478311479962,5537676437162,"(0, 500]","(0, 2]",2023-05-15
1479063406959,6619624072871,"(0, 500]","(-100, 0]",2024-07-10
1480608885348,2568233507829,"(0, 500]","(-100, 0]",2023-10-24
1482244172037,4547950138913,"(0, 500]","(2, 4]",2023-08-31
1484215051245,6521547344303,"(0, 500]","(-100, 0]",2024-04-01
1487906272152,4155580478569,"(0, 500]","(0, 2]",2023-10-25
1492252571690,3745985007552,"(0, 500]","(4, 6]",2023-11-17
1492508178519,1228115362160,"(0, 500]","(0, 2]",2023-03-20
1498536901356,5519191945480,"(0, 500]","(4, 6]",2023-10-13
1503952360905,5218244109220,"(0, 500]","(2, 4]",2023-10-27
1504580834142,4489540354464,"(500, 1000]","(2, 4]",2022-11-11
1507530935604,5172286957868,"(0, 500]","(-100, 0]",2023-05-15
1510698051042,7360943459820,"(0, 500]","(2, 4]",2023-02-25
1513944079292,7316331568063,"(500, 1000]","(0, 2]",2023-05-02
1516047568925,2937644868999,"(0, 500]","(2, 4]",2023-12-15
1516727695392,5788796626105,"(500, 1000]","(2, 4]",2023-03-03
1519451455120,2557143288097,"(0, 500]","(-100, 0]",2023-05-11
1522735217028,6205498391443,"(0, 500]","(-100, 0]",2023-05-23
1524996553560,6709281777067,"(1000, 2000]","(0, 2]",2023-02-13
1533876951012,2926607656741,"(0, 500]","(-100, 0]",2024-01-17
1549775054351,5417756810535,"(0, 500]","(4, 6]",2023-12-06
1552550183880,2259310771139,"(0, 500]","(-100, 0]",2023-05-24
1556281971002,6226777237291,"(0, 500]","(2, 4]",2023-09-21
1557666756326,4327386587278,"(0, 500]","(0, 2]",2023-07-18
1563578897685,4425979962796,"(0, 500]","(-100, 0]",2023-08-16
1577190399367,5218244109220,"(0, 500]","(-100, 0]",2023-10-06
1587453394191,4888198084161,"(0, 500]","(2, 4]",2023-02-24
1593129830442,2406626362800,"(0, 500]","(4, 6]",2023-06-07
1594562445798,2362641885050,"(0, 500]","(-100, 0]",2023-04-08
1596865961878,5853842469554,"(0, 500]","(-100, 0]",2024-01-16
1597439740770,4861620233266,"(0, 500]","(0, 2]",2023-06-20
1597837335992,1842925077109,"(500, 1000]","(4, 6]",2023-06-07
1609732052632,5138511714413,"(1000, 2000]","(-100, 0]",2022-06-13
